trip_id,block_id,route_id,service_id,direction_id,shape_id
fff93c9e-a-7b3b433c-d,,b184d58f,2,1,994835959
256dd391-a-7b3b433c-d,,b184d58f,2,0,994835958
53d138f1-7-7b3b433c-d,,b184d58f,2,1,994835959
d1f72e76-d-7b3b433c-d,,b184d58f,2,0,994835958
4b2dfb87-f-7b3b433c-d,,b184d58f,2,1,994835959
f69e32e5-7-7b3b433c-d,,b184d58f,2,1,994835959
c21d9784-6-7b3b433c-d,,b184d58f,2,1,994835959
d0a6e033-0-7b3b433c-d,,b184d58f,2,1,994835959
96d076c1-4-7b3b433c-d,,b184d58f,2,1,994835959
443161b2-b-7b3b433c-d,,b184d58f,2,1,994835959
0e8b63d0-1-7b3b433c-d,,b184d58f,2,1,994835959
fe032888-b-7b3b433c-d,,b184d58f,2,1,994835959
04880f28-6-7b3b433c-d,,b3b1c05a,2,0,994835954
42ff3ef1-b-7b3b433c-d,,b3b1c05a,2,0,994835954
e4559fbe-c-7b3b433c-d,,b3b1c05a,2,0,994835954
506dd643-f-7b3b433c-d,,b3b1c05a,2,0,994835954
61e43be4-e-7b3b433c-d,,b3b1c05a,2,0,994835954
f92bf009-4-7b3b433c-d,,b3b1c05a,2,1,994835955
c5336a24-5-7b3b433c-d,,b3b1c05a,2,0,994835954
195c3d07-b-7b3b433c-d,,b3b1c05a,2,1,994835955
50970b87-b-7b3b433c-d,,b3b1c05a,2,0,994835954
83d8b022-b-7b3b433c-d,,b3b1c05a,2,1,994835955
c185b4c6-3-7b3b433c-d,,b3b1c05a,2,0,994835954
7a9bc9cb-0-7b3b433c-d,,b3b1c05a,2,1,994835955
5f7e2af8-a-7b3b433c-d,,b3b1c05a,2,0,994835954
1d3fae02-d-7b3b433c-d,,b3b1c05a,2,1,994835955
277c47cf-4-7b3b433c-d,,b3b1c05a,2,0,994835954
48de8fd5-a-7b3b433c-d,,b3b1c05a,2,1,994835955
a1d06d63-8-7b3b433c-d,,b3b1c05a,2,0,994835954
d63fa795-3-7b3b433c-d,,b3b1c05a,2,1,994835955
8dd8763b-a-7b3b433c-d,,b3b1c05a,2,0,994835954
47c7b9eb-3-7b3b433c-d,,b3b1c05a,2,1,994835955
2a2ff998-1-7b3b433c-d,,b3b1c05a,2,0,994835954
69fbeab5-9-7b3b433c-d,,b3b1c05a,2,1,994835955
c6bbbf25-e-7b3b433c-d,,b3b1c05a,2,1,994835955
f7e90265-6-7b3b433c-d,,b3b1c05a,2,0,994835954
856aeb7f-9-7b3b433c-d,,b3b1c05a,2,1,994835955
05ad121e-b-7b3b433c-d,,b3b1c05a,2,1,994835955
9aca5ded-a-7b3b433c-d,,b3b1c05a,2,0,994835954
7cb4a166-c-7b3b433c-d,,b3b1c05a,2,1,994835955
ca1af0ce-a-7b3b433c-d,,b3b1c05a,2,0,994835954
1fc37836-b-7b3b433c-d,,b3b1c05a,2,1,994835955
