trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
3627070,17:38:00,17:38:00,31080,11,0,0
3627070,17:40:00,17:40:00,32490,12,0,0
3627070,17:40:00,17:40:00,32480,13,0,0
3627070,17:41:00,17:41:00,32470,14,0,0
3627070,17:42:00,17:42:00,32455,15,0,0
3627070,17:43:00,17:43:00,45925,16,0,0
3627070,17:44:00,17:44:00,45935,17,0,0
3627070,17:45:00,17:45:00,45945,18,0,0
3627070,17:46:00,17:46:00,45947,19,1,0
3627078,19:16:00,19:16:00,45947,1,0,0
3627078,19:17:00,19:17:00,60291,2,0,0
3627078,19:18:00,19:18:00,00720,3,0,0
3627078,19:18:00,19:18:00,00750,4,0,0
3627078,19:19:00,19:19:00,09680,5,0,0
3627078,19:19:00,19:19:00,09695,6,0,0
3627078,19:20:00,19:20:00,04220,7,0,0
3627078,19:20:00,19:20:00,16650,8,0,0
3627078,19:20:00,19:20:00,11230,9,0,0
3627078,19:21:00,19:21:00,11250,10,0,0
3627078,19:21:00,19:21:00,30230,11,0,0
3627078,19:21:00,19:21:00,30240,12,0,0
3627078,19:22:00,19:22:00,45955,13,0,0
3627078,19:23:00,19:23:00,45820,14,0,0
3627078,19:23:00,19:23:00,45965,15,0,0
3627078,19:24:00,19:24:00,46393,16,0,0
3627078,19:25:00,19:25:00,09420,17,0,0
3627078,19:25:00,19:25:00,33080,18,0,0
3627078,19:26:00,19:26:00,45975,19,0,0
3627078,19:26:00,19:26:00,45985,20,0,0
3627078,19:26:00,19:26:00,45977,21,0,0
3627078,19:28:00,19:28:00,45979,22,0,0
3627078,19:28:00,19:28:00,05750,23,0,0
3627078,19:28:00,19:28:00,05730,24,0,0
3627078,19:29:00,19:29:00,36090,25,0,0
3627078,19:29:00,19:29:00,36100,26,0,0
3627078,19:29:00,19:29:00,36110,27,0,0
3627078,19:30:00,19:30:00,36120,28,0,0
3627078,19:31:00,19:31:00,31060,29,0,0
3627078,19:31:00,19:31:00,31030,30,0,0
3627078,19:32:00,19:32:00,31010,31,0,0
3627078,19:32:00,19:32:00,30990,32,0,0
3627078,19:33:00,19:33:00,30970,33,0,0
3627078,19:33:00,19:33:00,30950,34,0,0
3627078,19:34:00,19:34:00,30951,35,0,0
3627078,19:35:00,19:35:00,30952,36,0,0
3627078,19:37:00,19:37:00,60280,37,1,0
3627079,17:46:00,17:46:00,45947,1,0,0
3627079,17:47:00,17:47:00,60291,2,0,0
3627079,17:48:00,17:48:00,00720,3,0,0
3627079,17:48:00,17:48:00,00750,4,0,0
3627079,17:49:00,17:49:00,09680,5,0,0
3627079,17:49:00,17:49:00,09695,6,0,0
3627079,17:50:00,17:50:00,04220,7,0,0
3627079,17:50:00,17:50:00,16650,8,0,0
3627079,17:50:00,17:50:00,11230,9,0,0
3627079,17:51:00,17:51:00,11250,10,0,0
3627079,17:51:00,17:51:00,30230,11,0,0
3627079,17:51:00,17:51:00,30240,12,0,0
3627079,17:52:00,17:52:00,45955,13,0,0
3627079,17:53:00,17:53:00,45820,14,0,0
3627079,17:53:00,17:53:00,45965,15,0,0
3627079,17:54:00,17:54:00,46393,16,0,0
3627079,17:55:00,17:55:00,09420,17,0,0
3627079,17:55:00,17:55:00,33080,18,0,0
3627079,17:56:00,17:56:00,45975,19,0,0
3627079,17:56:00,17:56:00,45985,20,0,0
3627079,17:56:00,17:56:00,45977,21,0,0
3627079,17:58:00,17:58:00,45979,22,0,0
3627079,17:58:00,17:58:00,05750,23,0,0
3627079,17:58:00,17:58:00,05730,24,0,0
3627079,17:59:00,17:59:00,36090,25,0,0
3627079,17:59:00,17:59:00,36100,26,0,0
3627079,17:59:00,17:59:00,36110,27,0,0
3627079,18:00:00,18:00:00,36120,28,0,0
3627079,18:01:00,18:01:00,31060,29,0,0
3627079,18:01:00,18:01:00,31030,30,0,0
3627079,18:02:00,18:02:00,31010,31,0,0
3627079,18:02:00,18:02:00,30990,32,0,0
3627079,18:03:00,18:03:00,30970,33,0,0
3627079,18:03:00,18:03:00,30950,34,0,0
3627079,18:04:00,18:04:00,30951,35,0,0
3627079,18:05:00,18:05:00,30952,36,0,0
3627079,18:07:00,18:07:00,60280,37,1,0
3627081,14:32:00,14:32:00,60280,1,0,0
3627081,14:34:00,14:34:00,30942,2,0,0
3627081,14:34:00,14:34:00,30941,3,0,0
3627081,14:35:00,14:35:00,30940,4,0,0
3627081,14:35:00,14:35:00,30960,5,0,0
3627081,14:36:00,14:36:00,30980,6,0,0
3627081,14:36:00,14:36:00,31000,7,0,0
3627081,14:37:00,14:37:00,31020,8,0,0
3627081,14:37:00,14:37:00,31040,9,0,0
3627081,14:37:00,14:37:00,31070,10,0,0
3627081,14:38:00,14:38:00,31080,11,0,0
3627081,14:40:00,14:40:00,32490,12,0,0
3627081,14:40:00,14:40:00,32480,13,0,0
3627081,14:41:00,14:41:00,32470,14,0,0
3627081,14:42:00,14:42:00,32455,15,0,0
3627081,14:43:00,14:43:00,45925,16,0,0
3627081,14:44:00,14:44:00,45935,17,0,0
3627081,14:45:00,14:45:00,45945,18,0,0
3627081,14:46:00,14:46:00,45947,19,1,0
3627085,17:01:00,17:01:00,45947,1,0,0
3627085,17:02:00,17:02:00,60291,2,0,0
3627085,17:03:00,17:03:00,00720,3,0,0
3627085,17:03:00,17:03:00,00750,4,0,0
3627085,17:04:00,17:04:00,09680,5,0,0
3627085,17:04:00,17:04:00,09695,6,0,0
3627085,17:05:00,17:05:00,04220,7,0,0
3627085,17:05:00,17:05:00,16650,8,0,0
3627085,17:05:00,17:05:00,11230,9,0,0
3627085,17:06:00,17:06:00,11250,10,0,0
3627085,17:06:00,17:06:00,30230,11,0,0
3627085,17:06:00,17:06:00,30240,12,0,0
3627085,17:07:00,17:07:00,45955,13,0,0
3627085,17:08:00,17:08:00,45820,14,0,0
3627085,17:08:00,17:08:00,45965,15,0,0
3627085,17:09:00,17:09:00,46393,16,0,0
3627085,17:10:00,17:10:00,09420,17,0,0
3627085,17:10:00,17:10:00,33080,18,0,0
3627085,17:11:00,17:11:00,45975,19,0,0
3627085,17:11:00,17:11:00,45985,20,0,0
3627085,17:11:00,17:11:00,45977,21,0,0
3627085,17:13:00,17:13:00,45979,22,0,0
3627085,17:13:00,17:13:00,05750,23,0,0
3627085,17:13:00,17:13:00,05730,24,0,0
3627085,17:14:00,17:14:00,36090,25,0,0
3627085,17:14:00,17:14:00,36100,26,0,0
3627085,17:14:00,17:14:00,36110,27,0,0
3627085,17:15:00,17:15:00,36120,28,0,0
3627085,17:16:00,17:16:00,31060,29,0,0
3627085,17:16:00,17:16:00,31030,30,0,0
3627085,17:17:00,17:17:00,31010,31,0,0
3627085,17:17:00,17:17:00,30990,32,0,0
3627085,17:18:00,17:18:00,30970,33,0,0
3627085,17:18:00,17:18:00,30950,34,0,0
3627085,17:19:00,17:19:00,30951,35,0,0
3627085,17:20:00,17:20:00,30952,36,0,0
3627085,17:22:00,17:22:00,60280,37,1,0
3627086,13:16:00,13:16:00,45947,1,0,0
3627086,13:17:00,13:17:00,60291,2,0,0
3627086,13:18:00,13:18:00,00720,3,0,0
3627086,13:18:00,13:18:00,00750,4,0,0
3627086,13:19:00,13:19:00,09680,5,0,0
3627086,13:19:00,13:19:00,09695,6,0,0
3627086,13:20:00,13:20:00,04220,7,0,0
3627086,13:20:00,13:20:00,16650,8,0,0
3627086,13:20:00,13:20:00,11230,9,0,0
3627086,13:21:00,13:21:00,11250,10,0,0
3627086,13:21:00,13:21:00,30230,11,0,0
3627086,13:21:00,13:21:00,30240,12,0,0
3627086,13:22:00,13:22:00,45955,13,0,0
3627086,13:23:00,13:23:00,45820,14,0,0
3627086,13:23:00,13:23:00,45965,15,0,0
3627086,13:24:00,13:24:00,46393,16,0,0
3627086,13:25:00,13:25:00,09420,17,0,0
