service_id,date,exception_type
TRYON-Weekday-1-BUS-19-10-1111000,20200106,1
TRYON-Weekday-1-BUS-19-10-1111000,20200107,1
TRYON-Weekday-1-BUS-19-10-1111000,20200108,1
TRYON-Weekday-1-BUS-19-10-1111000,20200109,1
TRYON-Weekday-1-BUS-19-10-1111000,20200113,1
TRYON-Weekday-1-BUS-19-10-1111000,20200114,1
TRYON-Weekday-1-BUS-19-10-1111000,20200115,1
TRYON-Weekday-1-BUS-19-10-1111000,20200116,1
TRYON-Weekday-1-BUS-19-10-1111000,20200121,1
TRYON-Weekday-1-BUS-19-10-1111000,20200122,1
TRYON-Weekday-1-BUS-19-10-1111000,20200123,1
TRYON-Weekday-1-BUS-19-10-1111000,20200127,1
TRYON-Weekday-1-BUS-19-10-1111000,20200128,1
TRYON-Weekday-1-BUS-19-10-1111000,20200129,1
TRYON-Weekday-1-BUS-19-10-1111000,20200130,1
TRYON-Weekday-1-BUS-19-10-1111100,20191007,1
TRYON-Weekday-1-BUS-19-10-1111100,20191008,1
TRYON-Weekday-1-BUS-19-10-1111100,20191009,1
TRYON-Weekday-1-BUS-19-10-1111100,20191010,1
TRYON-Weekday-1-BUS-19-10-1111100,20191011,1
TRYON-Weekday-1-BUS-19-10-1111100,20191014,1
TRYON-Weekday-1-BUS-19-10-1111100,20191015,1
TRYON-Weekday-1-BUS-19-10-1111100,20191016,1
TRYON-Weekday-1-BUS-19-10-1111100,20191017,1
TRYON-Weekday-1-BUS-19-10-1111100,20191018,1
TRYON-Weekday-1-BUS-19-10-1111100,20191021,1
TRYON-Weekday-1-BUS-19-10-1111100,20191022,1
TRYON-Weekday-1-BUS-19-10-1111100,20191023,1
TRYON-Weekday-1-BUS-19-10-1111100,20191024,1
TRYON-Weekday-1-BUS-19-10-1111100,20191025,1
TRYON-Weekday-1-BUS-19-10-1111100,20191028,1
TRYON-Weekday-1-BUS-19-10-1111100,20191029,1
TRYON-Weekday-1-BUS-19-10-1111100,20191030,1
TRYON-Weekday-1-BUS-19-10-1111100,20191031,1
TRYON-Weekday-1-BUS-19-10-1111100,20191101,1
TRYON-Weekday-1-BUS-19-10-1111100,20191104,1
TRYON-Weekday-1-BUS-19-10-1111100,20191105,1
TRYON-Weekday-1-BUS-19-10-1111100,20191106,1
TRYON-Weekday-1-BUS-19-10-1111100,20191107,1
TRYON-Weekday-1-BUS-19-10-1111100,20191108,1
TRYON-Weekday-1-BUS-19-10-1111100,20191111,1
TRYON-Weekday-1-BUS-19-10-1111100,20191112,1
TRYON-Weekday-1-BUS-19-10-1111100,20191113,1
TRYON-Weekday-1-BUS-19-10-1111100,20191114,1
TRYON-Weekday-1-BUS-19-10-1111100,20191115,1
TRYON-Weekday-1-BUS-19-10-1111100,20191118,1
TRYON-Weekday-1-BUS-19-10-1111100,20191119,1
TRYON-Weekday-1-BUS-19-10-1111100,20191120,1
TRYON-Weekday-1-BUS-19-10-1111100,20191121,1
TRYON-Weekday-1-BUS-19-10-1111100,20191122,1
TRYON-Weekday-1-BUS-19-10-1111100,20191125,1
TRYON-Weekday-1-BUS-19-10-1111100,20191126,1
TRYON-Weekday-1-BUS-19-10-1111100,20191127,1
TRYON-Weekday-1-BUS-19-10-1111100,20191202,1
TRYON-Weekday-1-BUS-19-10-1111100,20191203,1
TRYON-Weekday-1-BUS-19-10-1111100,20191204,1
TRYON-Weekday-1-BUS-19-10-1111100,20191205,1
TRYON-Weekday-1-BUS-19-10-1111100,20191206,1
TRYON-Weekday-1-BUS-19-10-1111100,20191209,1
TRYON-Weekday-1-BUS-19-10-1111100,20191210,1
TRYON-Weekday-1-BUS-19-10-1111100,20191211,1
TRYON-Weekday-1-BUS-19-10-1111100,20191212,1
TRYON-Weekday-1-BUS-19-10-1111100,20191213,1
TRYON-Weekday-1-BUS-19-10-1111100,20191216,1
TRYON-Weekday-1-BUS-19-10-1111100,20191217,1
TRYON-Weekday-1-BUS-19-10-1111100,20191218,1
TRYON-Weekday-1-BUS-19-10-1111100,20191219,1
TRYON-Weekday-1-BUS-19-10-1111100,20191220,1
TRYON-Weekday-1-BUS-19-10-1111100,20191223,1
