stop_id,stop_code,stop_name,stop_lat,stop_lon
remix_d642e1fb-3ed7-470c-bbdb-cdc1330a22c8,,"Untitled Stop",35.252184,-81.034831
remix_68838f0e-b6e8-42c2-ac8f-566f962c48ef,,"Untitled Stop",35.251836,-81.030568
remix_4b4a4877-8382-4fe6-9d60-9a17044728f9,,"Untitled Stop",35.249995,-81.029712
remix_89803138-bb96-44f8-bcb8-eaa60769f5a9,,"Untitled Stop",35.246972,-81.031306
remix_e62c4db6-759d-44ae-ae71-48a107320f9a,,"Untitled Stop",35.243412,-81.031603
remix_5173e1ed-ed79-4a64-9667-18cbc31dae2c,,"Untitled Stop",35.240223,-81.031595
remix_88e51ca6-1f03-4e1e-8574-8def0e67257f,,"Untitled Stop",35.237446,-81.033812
remix_9bbea744-d43b-4e49-94dc-234f5f86c1e8,,"Untitled Stop",35.236200,-81.035441
remix_d083af25-4cbc-4888-b176-d10dbaa94437,,"Untitled Stop",35.235303,-81.037268
remix_f6a2a4ee-1454-4e5f-9e44-b011e374b9e2,,"Untitled Stop",35.235268,-81.040477
01190,,"Ashley Rd & Tuckaseegee Rd",35.244198,-80.895512
32736,,"Tuckaseegee Rd & Ashley Rd",35.245163,-80.896349
32730,,"Tuckaseegee Rd & Edgewood Rd",35.246215,-80.898848
09660,,"Edgewood Rd & Major St",35.249012,-80.899298
32150,,"Thriftwood Dr & Freedom Dr",35.254544,-80.903039
32120,,"Thriftwood Dr & Interurban Ave",35.259009,-80.903834
13150,,"Interurban Ave & Westridge Dr",35.260762,-80.903332
12275,,"Interurban Ave & Willard St",35.261756,-80.901692
12271,,"Interurban Ave & Hovis Rd",35.262858,-80.899320
remix_d3703c86-091d-47ec-8803-c31cb75919cd,,"Untitled Stop",35.263941,-80.898179
12340,,"Hovis Rd & Tarheel Rd",35.265727,-80.898342
12350,,"Hovis Rd & Gulf Dr",35.268302,-80.898703
02270,,"Bealer Rd & Hovis Rd",35.269466,-80.899488
02280,,"Bealer Rd & Terminal St",35.269235,-80.901419
02290,,"Bealer Rd & Exchange St",35.269328,-80.904776
